,introduction,postingTitle,duty,content,description,recommendationDetails,work_introduction,projectIntroduction
86,"['The Honorable Paul M. Dabbar is CEO and Co-founder of Bohr Quantum Technology, developing and deploying technologies for the emerging quantum internet I am also a Distinguished Visiting Fellow at Columbia University at the Center on Global Energy Policy, and a Fox Business and WSJ editorial page contributor Prior to that, the U.S. Senate unanimously confirmed me as the Dept. of Energy’s fourth Under Secretary for Science. I managed several areas of the Dept., and served as the Dept’s principal advisor on fundamental energy research, energy technologies, science, and commercialization of technologies. I managed over 60,000 people with a budget of $15 billion p.a. at over 100 sites, managing the majority of the U.S. National Labs, including Oak Ridge, Lawrence Berkeley, Stanford SLAC, Princeton Plasma, Argonne, Fermi and Brookhaven National Labs Areas of research I managed included basic energy sciences, nuclear and high energy physics, advanced computing, fusion, and biological & environmental research. I also led the largest environmental remediation program in the world, addressing the operations of nuclear weapons and commercial power, completing several multi-billion dollar construction projects. I also led various new efforts to commercialize innovations arising from the National Labs. I co-led several innovation efforts, including the Energy Storage Grand Challenge, the passage and implementation of the National Quantum Initiative Act and developing the U.S. Quantum Internet Blueprint I was awarded in 2021 the Secretary of Energy’s senior DOE award, the James R. Schlesinger Medal, for leadership on developing energy technologies, discovery science, environmental management, and the National Quantum Initiative I have traveled to both the geographic North and South Poles: to the North Pole by submarine to conduct environmental research while in the Navy, and to the South Pole in support of high energy physics astronomy missions of DOE at South Pole Station Prior to confirmation as Under Secretary, I worked in operations, finance, and strategy roles in the energy and national defense sectors. As Managing Director at J.P. Morgan, I had over $400 billion in transaction experience across all energy sectors. In addition, I had a senior leadership role for the company’s commodity trading business, including energy. Before J.P. Morgan, I was a nuclear submarine officer. I have been a lecturer at the U.S. Naval Academy, and conducted research at the Johns Hopkins University Applied Physics Lab. I am a member of the Council on Foreign Relations']",[''],[],[],[''],[],[''],['']
87,"['Dr. Panchanathan currently serves as the Director of the National Science Foundation (NSF). Although this account will remain live during his tenure, do not expect any direct communications from this account. Please tag NSF’s official LinkedIn page in updates that refer to Dr. Panchanathan in his official capacity as Director of NSF. All media inquiries should be sent to media@nsf.gov. Dr. Sethuraman Panchanathan received his Ph.D. in electrical and computer engineering from the University of Ottawa in 1989. He brought his skills and knowledge to Arizona State University, where he became the founding director of the School of Computing and Informatics, and was instrumental in starting the Biomedical Informatics Department. He also founded the Center for Cognitive Ubiquitous Computing (CUbiC) at ASU, which is focused on developing devices, technologies, and environments for assisting individuals with disabilities. In 2014, Dr. Panchanathan was appointed by United States President Barack Obama to the U.S. National Science Board (NSB). He now chairs the NSB Committee on Strategy and Budget, which oversees an annual budget of $7 billion. He has also been appointed by U.S. Secretary of Commerce, Penny Pritzker, to the National Advisory Council on Innovation and Entrepreneurship (NACIE) to advance the innovation economy and grow a globally competitive workforce. Arizona Secretary of State Michele Reagan appointed him to the Technology, Transparency and Commerce Council in 2016 to provide strategic insight for Arizona’s policy programs. Dr. Panchanathan is a Fellow of the National Academy of Inventors (NAI) and a Fellow of the Canadian Academy of Engineering. He has chaired the Council of Research at Association of Public and Land-grant Universities (APLU). He previously led the Knowledge Enterprise Development at ASU, helping build transdisciplinary research institutes. He has published over 440 highly cited papers in prestigious journals and conferences and obtained numerous patents and copyrights. He is the founder of two start-up companies and is a mentor to numerous researchers and students.']","['Yesterday, NSF Director Panchanathan hosted the Indian ambassador at the agency’s headquarters in Alexandria, Virginia, to celebrate a new partnership supporting U.S.-India collaborative projects that could accelerate the development of new technologies, tools and systems for mutual benefit of both societies and economies. Last month, NSF- funded a two-day workshop that brought together nearly 100 researchers from the U.S. and India: ', 'Grateful to have had the time with National Science Foundation (NSF) Director Sethuraman Panchanathan - sharing Council on Competitiveness priorities for the coming two years, & mapping opportunities to partner around expanding the geography of #science & #innovation, empowering America’s citizens to engage productively in the ever transforming global #economy, etc. cc: Deborah L. Wince-Smith, Chad Evans, Erwin Gianchandani, Margaret Martonosi, Susan Margulies', 'Today, NSF and the Kaleta A. Doolin Foundation launched a new partnership to promote greater gender diversity within the #STEM research and education workforce. KADF will invest $400,000 in NSF programs that support postdoctoral fellowships and career-building activities for women in science. “What better time to celebrate this new alliance and the advancement of women in STEM than during Women’s History Month. This partnership will impact women of all ages and education levels and will amplify NSF’s pivotal work to increase diversity, equity and inclusion in the scientific disciplines.,” said Sylvia Butterfield, acting Assistant Director for NSF’s Education and Human Resources directorate. Learn more about the partnership here: ', 'Imagine the life changing power of transporting kids to the international space station. The power of transforming math and science into spectacular discoveries that IGNITE lifelong passions for learning, creating, and achieving breakthroughs for humanity. Dr. Sethuraman Panchanathan, Director of the National Science Foundation (NSF), is on a mission to unleash and inspire #STEM talent with new approaches that capture the imagination. FULL EPISODE: ', ""Today, the President's Fiscal Year 2023 budget request was submitted to Congress and includes a proposed NSF budget of $10.5 billion. The President’s funding proposal for NSF would expand the agency’s ability to support the Administration’s priorities of responding to the pandemic, tackling climate change, innovating for equity, ensuring national security and spurring economic recovery and resilience. For more information on the Administration’s proposed FY23 NSF budget visit: "", 'Last week, NSF brought the future of science to SXSW! During his #SXSWNSF session, NSF Director Panchanathan announced the new Directorate for Technology, Innovation and Partnerships, or TIP. Now, learn more about TIP and what it means for the next era of American possibilities ', 'NSF is committed to the continued representation of women in #STEM and proud that over 15 of the women represented in the #IfThenSheCanExhibit are #NSFfunded. Check out more about the exhibit and the game-changing women at ', 'Yesterday, NSF Director Panchanathan hosted the Indian ambassador at the agency’s headquarters in Alexandria, Virginia, to celebrate a new partnership supporting U.S.-India collaborative projects that could accelerate the development of new technologies, tools and systems for mutual benefit of both societies and economies. Last month, NSF- funded a two-day workshop that brought together nearly 100 researchers from the U.S. and India: ', 'Grateful to have had the time with National Science Foundation (NSF) Director Sethuraman Panchanathan - sharing Council on Competitiveness priorities for the coming two years, & mapping opportunities to partner around expanding the geography of #science & #innovation, empowering America’s citizens to engage productively in the ever transforming global #economy, etc. cc: Deborah L. Wince-Smith, Chad Evans, Erwin Gianchandani, Margaret Martonosi, Susan Margulies', 'Today, NSF and the Kaleta A. Doolin Foundation launched a new partnership to promote greater gender diversity within the #STEM research and education workforce. KADF will invest $400,000 in NSF programs that support postdoctoral fellowships and career-building activities for women in science. “What better time to celebrate this new alliance and the advancement of women in STEM than during Women’s History Month. This partnership will impact women of all ages and education levels and will amplify NSF’s pivotal work to increase diversity, equity and inclusion in the scientific disciplines.,” said Sylvia Butterfield, acting Assistant Director for NSF’s Education and Human Resources directorate. Learn more about the partnership here: ', 'Imagine the life changing power of transporting kids to the international space station. The power of transforming math and science into spectacular discoveries that IGNITE lifelong passions for learning, creating, and achieving breakthroughs for humanity. Dr. Sethuraman Panchanathan, Director of the National Science Foundation (NSF), is on a mission to unleash and inspire #STEM talent with new approaches that capture the imagination. FULL EPISODE: ', ""Today, the President's Fiscal Year 2023 budget request was submitted to Congress and includes a proposed NSF budget of $10.5 billion. The President’s funding proposal for NSF would expand the agency’s ability to support the Administration’s priorities of responding to the pandemic, tackling climate change, innovating for equity, ensuring national security and spurring economic recovery and resilience. For more information on the Administration’s proposed FY23 NSF budget visit: "", 'Last week, NSF brought the future of science to SXSW! During his #SXSWNSF session, NSF Director Panchanathan announced the new Directorate for Technology, Innovation and Partnerships, or TIP. Now, learn more about TIP and what it means for the next era of American possibilities ', 'NSF is committed to the continued representation of women in #STEM and proud that over 15 of the women represented in the #IfThenSheCanExhibit are #NSFfunded. Check out more about the exhibit and the game-changing women at ']","['Engaged in research, teaching and professional service. Published over 400 papers in refereed journals and conferences. Mentored over 100 graduate students, post docs and researchers. Students occupy leadership positions in academic and industry. Fellow of the IEEE, SPIE, Canadian Academy of Engineering, National Academy of Inventors.Engaged in research, teaching and professional service. Published over 400 papers in refereed journals and conferences. Mentored over 100 graduate students, post docs and researchers. Students occupy leadership positions in academic and industry. Fellow of the IEEE, SPIE, Canadian Academy of Engineering, National Academy of Inventors.', 'Responsible for advancing Research, Innovation, Strategic Partnerships, Entrepreneurship and Economic Development activities of the University. ASU is the fastest growing research universities with over $500 million in annual research expenditures. Transdisciplinary research initiatives include The Biodesign Institute, Global Institute of Sustainability, Institute for Humanities Research, Learning Sciences Institute, Institute for Social Science Research, Security and Defense Systems Initiative, Complex Adaptive Systems Network, MacroTechnology Works Initiative, DecisionTheater, New Space Initiative and the Obesity initiative.Responsible for advancing Research, Innovation, Strategic Partnerships, Entrepreneurship and Economic Development activities of the University. ASU is the fastest growing research universities with over $500 million in annual research expenditures. Transdisciplinary research initiatives include The Biodesign Institute, Global Institute of Sustainability, Institute for Humanities Research, Learning Sciences Institute, Institute for Social Science Research, Security and Defense Systems Initiative, Complex Adaptive Systems Network, MacroTechnology Works Initiative, DecisionTheater, New Space Initiative and the Obesity initiative.', ""Founded the School of Computing and Informatics and the Biomedical Informatics Department (in collaboration with the Mayo Clinic) at Arizona State University. Member of the design team for the founding of the new medical school campus of the University of Arizona College of Medicine, Phoenix. Member of the Governor's electronic health steering committee.Founded the School of Computing and Informatics and the Biomedical Informatics Department (in collaboration with the Mayo Clinic) at Arizona State University. Member of the design team for the founding of the new medical school campus of the University of Arizona College of Medicine, Phoenix. Member of the Governor's electronic health steering committee.""]",[],[''],"[""Lakshmie was my Masters student from 2009-2011, and completed his thesis work on developing haptic interfaces to enhance movie comprehension for individuals with visual impairments. Over the course of his Masters program, he was quick to understand the fundamentals of interdisciplinary research, and he brought together concepts from linguistics, psychology and human-computer interaction in his thesis work. His work laid a promising foundation for providing better sensory substitution solutions for individuals who are visually impaired or blind. I found him to be a fast learner, and capable of adapting to new environments with ease. He was very active and engaged during lab meetings, and proved to be a great listener to other's opinions and suggestions. He assisted fellow researchers in related projects on haptics, and also came up with novel and innovative concepts that could spark further research efforts in the field. I am sure Lakshmie will continue to provide great contributions to his workplace in the years to come."", ""Lakshmie was my Masters student from 2009-2011, and completed his thesis work on developing haptic interfaces to enhance movie comprehension for individuals with visual impairments. Over the course of his Masters program, he was quick to understand the fundamentals of interdisciplinary research, and he brought together concepts from linguistics, psychology and human-computer interaction in his thesis work. His work laid a promising foundation for providing better sensory substitution solutions for individuals who are visually impaired or blind. I found him to be a fast learner, and capable of adapting to new environments with ease. He was very active and engaged during lab meetings, and proved to be a great listener to other's opinions and suggestions. He assisted fellow researchers in related projects on haptics, and also came up with novel and innovative concepts that could spark further research efforts in the field. I am sure Lakshmie will continue to provide great contributions to his workplace in the years to come.""]",[],[]
88,"['MDE School District Consultant, Office of Health and Nutrition Services']","[""On March 16, I'll be presenting along with other experts and advocates on solutions for tackling the #mentalhealth crisis among our nation's youth. #KidsAndCovid #ItsAKidsIssue"", 'Evan Hutchins Congratulations to my amazingly talented son! So proud of this #FutureEngineer!', '#spreadtheword', 'Trump is the single biggest reason why many Americans distrust science, the electoral system, and one another. As a businessman, he was a congenital liar who phoned in fake stories about himself to New York tabloids, who lied about his net worth, who exaggerated the height of Trump Tower. As a candidate, he lied about Barack Obama’s birth certificate; he declared falsely that Ted Cruz’s father had helped assassinate John F. Kennedy; he invented a story about “thousands” of New Jersey Muslims celebrating on 9/11. As president, he has lied about so many things that even the nation’s most assiduous fact-checkers have had trouble keeping up.']","['Mental Health and Medicaid CoordinatorMental Health and Medicaid Coordinator', 'High School PrincipalHigh School Principal']",[],[''],[],[''],['']
89,[''],[''],[],[''],[''],[],[''],['']
90,[''],[''],"['The Oceans 360 Group provides premier operational and strategic perspectives and capability in the marine science and leadership realms. Our team offers perspectives and experience from the highest levels of government, and insights from a global network of ocean science professionals. Operational excellence, technical leadership, scientific integrity, and solution focused decision-making are our commitments to our clients.The Oceans 360 Group provides premier operational and strategic perspectives and capability in the marine science and leadership realms. Our team offers perspectives and experience from the highest levels of government, and insights from a global network of ocean science professionals. Operational excellence, technical leadership, scientific integrity, and solution focused decision-making are our commitments to our clients.']",[],[''],['Alexis has shown good skill in interpreting complex information and translating that to products for presentation to a variety of audiences.'],[''],['']
91,[''],[''],[''],[''],[''],[''],[''],['']
92,[''],"[""Very humbled and honored being elected as an Honorary Fellow at AIAA. It's something that as a young engineer I have always aspired to and never thought that I would achieve. Many thanks to all the outstanding and talented engineers that I have had the honor to work with in my career!"", 'GEN(R) Ellen Pawlikowski was honored last night at the AIAA Fellows dinner for receiving an Honorary Fellow. So happy to see her getting the well deserved recognition!', ""It was a real honor to host MG Kirk Vollmecke's retirement ceremony on May 3rd after his 35 yrs of outstanding service to the Army. The Army was fortunate to have such a hard working, dedicated and talented professional like Kirk."", 'Wonderful promotion ceremony this morning for BG Rob Collins and a Change of Charter for PEO IEWS from MG Kirk Vollmecke to BG Collins. The Army is fortunate to have such great officers!', 'LTG Neil Thurgood getting his 3rd star pinned on today by the Undersecretary of the Army McCarthy and his wife, Shauna! Very emotional ceremony. I am so proud of him!', 'So proud of LTG Neil Thurgood getting his 3rd star! So deserving! He will be responsible for hypersonics, DE, and space. The perfect guy for this tough task for the Army!', 'It was wonderful to catch up with BG Rasch, PEO Missiles & Space at AUSA. He remembers the first time that he brief me on his program when he was a COL. So happy to see him doing well!', 'Such a pleasure to see GEN (R) Dennis Via again. We had such a great working relationship when I was the Assistant Secretary of the Army for Acquisition, Logistics and Technology and when he was the Commander of Army Material Command.']",[],[],[''],[],[''],['']
93,[''],[''],[],[],[''],[],[''],['']
94,[''],"[""Join us at #USCGA this Saturday for the annual Secretaries Cup against our rivals at the United States Merchant Marine Academy. Can't come to the party? No worries, you can also catch the big game on ESPN3 at 12 pm. Go U.S. Coast Guard, Beat Kings Point!"", 'Fellow Veterans - let’s help vaccinate our fellow citizens! I am plus 48 hours on my first dose and feel fine and hope to volunteer through my local Mission Continues platoon! John, Proud Army and OIF Veteran', 'Please help me stop the AAPI hate that is out there. My daughter Amanda provides these inspired actions that we all can consider taking to #stopaapihate', 'Follow our Veterans - they know how Service to others can help us heal.', 'If you are a veteran/military spouse or a company that cares about hiring either, please join me, Citi, Veterans On Wall Street, and the Bob Woodruff Foundation on November 9th for this nationwide Symposium. In the morning: inspiring speakers. In the afternoon: meet our partner firms in corporate breakout sessions. Register on the link below. Anyone can attend so please share widely. Thank you, John, Veteran, #veterans #hiring', 'Hope you all can join this Thursday from 2-3 pm EST! John']",[],"['活动与社团: Army Crew Team', '活动与社团: War College Fellows program, Kennedy School Rowing Club, ISP, Belfer Center']",[''],"['Mark was a terrific colleague. Smart, dedicated, and professional with terrific leadership and senior executive bearing. Recommend him strongly.', ""I recommend Paul D. Miller for his national security policy work. When we were at the NSC together in 2008-2010, he was an outstanding colleague and contributed significantly to our Nation's national security policy.""]",[''],['']
95,[''],[''],[''],[''],[''],[],[''],['']
96,"[""Currently I am serving as Asst. Secretary for Economic, Energy &amp; Business Affairs at the Department of State. In this capacity I lead a great group who engage in U.S. global economic policy for the U.S. Department of State. EEB's mission is to promote economic security and prosperity at home and abroad. The Bureau's work lies at the critical nexus of economic prosperity and national security. As the single point where international economic policy tools and threads converge, we help promote a coherent economic policy across the U.S. Government. On a more personal note, I have been a lifelong supporter of education, the arts and commercial engagement, prior to my appointment at the State Department I served on the Board of Trustees of Dartmouth College and on the Board of Directors of Accion International and the Council of the Americas. I have been chair both of the American Bar Association's Inter-American Law Committee and the Committee on Inter-American Affairs of the Association of the Bar of the City of New York, and co-chair of the Cross Border M&amp;A and Joint Ventures Committee of the New York State Bar Association. I recently headed the Latin American and Caribbean division of the ABA's Rule of Law Initiative. I have also served on the boards of NPR-station WBGO-FM, Ballet Hispanico of New York and the Middle East Institute, and co-founded the TeatroStageFest, a 2-week Latino theater festival in New York City. I have served as a Commissioner of New York’s Latin Media and Entertainment Commission.""]",[''],"['In my current position as the Asst. Secretary for Economic, Energy &amp; Business Affairs I lead the Bureau responsible for overseeing work on international trade and investment policy; international finance, development, and debt policy; economic sanctions and combating terrorist financing; international energy security policy; international telecommunications and transportation policies; and support for U.S. businesses and the private sector overseas. I have been in this position since my appointment by President Obama in December of 2009.In my current position as the Asst. Secretary for Economic, Energy &amp; Business Affairs I lead the Bureau responsible for overseeing work on international trade and investment policy; international finance, development, and debt policy; economic sanctions and combating terrorist financing; international energy security policy; international telecommunications and transportation policies; and support for U.S. businesses and the private sector overseas. I have been in this position since my appointment by President Obama in December of 2009.', 'While here, my practice maintained a broad focus on Latin America, Europe and Africa, advising clients on international mergers and acquisitions, financings, trade and other matters as the economies of these regions evolved. I worked with some of the region’s most complex acquisitions for corporations and private equity firms, and advised on financings, privatizations, securities offerings, arbitrations and joint ventures across a number of Latin American countries. This included work representing banks in loans and restructurings in a cross-section of industries, including mining, energy and telecommunications. These responsibilities included advising governments and bidders in more than 20 privatizations throughout Latin America and Africa.While here, my practice maintained a broad focus on Latin America, Europe and Africa, advising clients on international mergers and acquisitions, financings, trade and other matters as the economies of these regions evolved. I worked with some of the region’s most complex acquisitions for corporations and private equity firms, and advised on financings, privatizations, securities offerings, arbitrations and joint ventures across a number of Latin American countries. This included work representing banks in loans and restructurings in a cross-section of industries, including mining, energy and telecommunications. These responsibilities included advising governments and bidders in more than 20 privatizations throughout Latin America and Africa.']","['Magna cum laude', 'Parker School Certificate of International Law (Honors) Charles Evans Hughes Prize']",[''],[],[''],['']
97,[''],[''],[''],[''],[''],[],[''],['']
98,[''],[''],[],[''],[''],[],[''],['']
99,"['Dr. Panchanathan currently serves as the Director of the National Science Foundation (NSF). Although this account will remain live during his tenure, do not expect any direct communications from this account. Please tag NSF’s official LinkedIn page in updates that refer to Dr. Panchanathan in his official capacity as Director of NSF. All media inquiries should be sent to media@nsf.gov. Dr. Sethuraman Panchanathan received his Ph.D. in electrical and computer engineering from the University of Ottawa in 1989. He brought his skills and knowledge to Arizona State University, where he became the founding director of the School of Computing and Informatics, and was instrumental in starting the Biomedical Informatics Department. He also founded the Center for Cognitive Ubiquitous Computing (CUbiC) at ASU, which is focused on developing devices, technologies, and environments for assisting individuals with disabilities. In 2014, Dr. Panchanathan was appointed by United States President Barack Obama to the U.S. National Science Board (NSB). He now chairs the NSB Committee on Strategy and Budget, which oversees an annual budget of $7 billion. He has also been appointed by U.S. Secretary of Commerce, Penny Pritzker, to the National Advisory Council on Innovation and Entrepreneurship (NACIE) to advance the innovation economy and grow a globally competitive workforce. Arizona Secretary of State Michele Reagan appointed him to the Technology, Transparency and Commerce Council in 2016 to provide strategic insight for Arizona’s policy programs. Dr. Panchanathan is a Fellow of the National Academy of Inventors (NAI) and a Fellow of the Canadian Academy of Engineering. He has chaired the Council of Research at Association of Public and Land-grant Universities (APLU). He previously led the Knowledge Enterprise Development at ASU, helping build transdisciplinary research institutes. He has published over 440 highly cited papers in prestigious journals and conferences and obtained numerous patents and copyrights. He is the founder of two start-up companies and is a mentor to numerous researchers and students.']","['Yesterday, NSF Director Panchanathan hosted the Indian ambassador at the agency’s headquarters in Alexandria, Virginia, to celebrate a new partnership supporting U.S.-India collaborative projects that could accelerate the development of new technologies, tools and systems for mutual benefit of both societies and economies. Last month, NSF- funded a two-day workshop that brought together nearly 100 researchers from the U.S. and India: ', 'Grateful to have had the time with National Science Foundation (NSF) Director Sethuraman Panchanathan - sharing Council on Competitiveness priorities for the coming two years, & mapping opportunities to partner around expanding the geography of #science & #innovation, empowering America’s citizens to engage productively in the ever transforming global #economy, etc. cc: Deborah L. Wince-Smith, Chad Evans, Erwin Gianchandani, Margaret Martonosi, Susan Margulies', 'Today, NSF and the Kaleta A. Doolin Foundation launched a new partnership to promote greater gender diversity within the #STEM research and education workforce. KADF will invest $400,000 in NSF programs that support postdoctoral fellowships and career-building activities for women in science. “What better time to celebrate this new alliance and the advancement of women in STEM than during Women’s History Month. This partnership will impact women of all ages and education levels and will amplify NSF’s pivotal work to increase diversity, equity and inclusion in the scientific disciplines.,” said Sylvia Butterfield, acting Assistant Director for NSF’s Education and Human Resources directorate. Learn more about the partnership here: ', 'Imagine the life changing power of transporting kids to the international space station. The power of transforming math and science into spectacular discoveries that IGNITE lifelong passions for learning, creating, and achieving breakthroughs for humanity. Dr. Sethuraman Panchanathan, Director of the National Science Foundation (NSF), is on a mission to unleash and inspire #STEM talent with new approaches that capture the imagination. FULL EPISODE: ', ""Today, the President's Fiscal Year 2023 budget request was submitted to Congress and includes a proposed NSF budget of $10.5 billion. The President’s funding proposal for NSF would expand the agency’s ability to support the Administration’s priorities of responding to the pandemic, tackling climate change, innovating for equity, ensuring national security and spurring economic recovery and resilience. For more information on the Administration’s proposed FY23 NSF budget visit: "", 'Last week, NSF brought the future of science to SXSW! During his #SXSWNSF session, NSF Director Panchanathan announced the new Directorate for Technology, Innovation and Partnerships, or TIP. Now, learn more about TIP and what it means for the next era of American possibilities ', 'NSF is committed to the continued representation of women in #STEM and proud that over 15 of the women represented in the #IfThenSheCanExhibit are #NSFfunded. Check out more about the exhibit and the game-changing women at ', 'Yesterday, NSF Director Panchanathan hosted the Indian ambassador at the agency’s headquarters in Alexandria, Virginia, to celebrate a new partnership supporting U.S.-India collaborative projects that could accelerate the development of new technologies, tools and systems for mutual benefit of both societies and economies. Last month, NSF- funded a two-day workshop that brought together nearly 100 researchers from the U.S. and India: ', 'Grateful to have had the time with National Science Foundation (NSF) Director Sethuraman Panchanathan - sharing Council on Competitiveness priorities for the coming two years, & mapping opportunities to partner around expanding the geography of #science & #innovation, empowering America’s citizens to engage productively in the ever transforming global #economy, etc. cc: Deborah L. Wince-Smith, Chad Evans, Erwin Gianchandani, Margaret Martonosi, Susan Margulies', 'Today, NSF and the Kaleta A. Doolin Foundation launched a new partnership to promote greater gender diversity within the #STEM research and education workforce. KADF will invest $400,000 in NSF programs that support postdoctoral fellowships and career-building activities for women in science. “What better time to celebrate this new alliance and the advancement of women in STEM than during Women’s History Month. This partnership will impact women of all ages and education levels and will amplify NSF’s pivotal work to increase diversity, equity and inclusion in the scientific disciplines.,” said Sylvia Butterfield, acting Assistant Director for NSF’s Education and Human Resources directorate. Learn more about the partnership here: ', 'Imagine the life changing power of transporting kids to the international space station. The power of transforming math and science into spectacular discoveries that IGNITE lifelong passions for learning, creating, and achieving breakthroughs for humanity. Dr. Sethuraman Panchanathan, Director of the National Science Foundation (NSF), is on a mission to unleash and inspire #STEM talent with new approaches that capture the imagination. FULL EPISODE: ', ""Today, the President's Fiscal Year 2023 budget request was submitted to Congress and includes a proposed NSF budget of $10.5 billion. The President’s funding proposal for NSF would expand the agency’s ability to support the Administration’s priorities of responding to the pandemic, tackling climate change, innovating for equity, ensuring national security and spurring economic recovery and resilience. For more information on the Administration’s proposed FY23 NSF budget visit: "", 'Last week, NSF brought the future of science to SXSW! During his #SXSWNSF session, NSF Director Panchanathan announced the new Directorate for Technology, Innovation and Partnerships, or TIP. Now, learn more about TIP and what it means for the next era of American possibilities ', 'NSF is committed to the continued representation of women in #STEM and proud that over 15 of the women represented in the #IfThenSheCanExhibit are #NSFfunded. Check out more about the exhibit and the game-changing women at ']","['Engaged in research, teaching and professional service. Published over 400 papers in refereed journals and conferences. Mentored over 100 graduate students, post docs and researchers. Students occupy leadership positions in academic and industry. Fellow of the IEEE, SPIE, Canadian Academy of Engineering, National Academy of Inventors.Engaged in research, teaching and professional service. Published over 400 papers in refereed journals and conferences. Mentored over 100 graduate students, post docs and researchers. Students occupy leadership positions in academic and industry. Fellow of the IEEE, SPIE, Canadian Academy of Engineering, National Academy of Inventors.', 'Responsible for advancing Research, Innovation, Strategic Partnerships, Entrepreneurship and Economic Development activities of the University. ASU is the fastest growing research universities with over $500 million in annual research expenditures. Transdisciplinary research initiatives include The Biodesign Institute, Global Institute of Sustainability, Institute for Humanities Research, Learning Sciences Institute, Institute for Social Science Research, Security and Defense Systems Initiative, Complex Adaptive Systems Network, MacroTechnology Works Initiative, DecisionTheater, New Space Initiative and the Obesity initiative.Responsible for advancing Research, Innovation, Strategic Partnerships, Entrepreneurship and Economic Development activities of the University. ASU is the fastest growing research universities with over $500 million in annual research expenditures. Transdisciplinary research initiatives include The Biodesign Institute, Global Institute of Sustainability, Institute for Humanities Research, Learning Sciences Institute, Institute for Social Science Research, Security and Defense Systems Initiative, Complex Adaptive Systems Network, MacroTechnology Works Initiative, DecisionTheater, New Space Initiative and the Obesity initiative.', ""Founded the School of Computing and Informatics and the Biomedical Informatics Department (in collaboration with the Mayo Clinic) at Arizona State University. Member of the design team for the founding of the new medical school campus of the University of Arizona College of Medicine, Phoenix. Member of the Governor's electronic health steering committee.Founded the School of Computing and Informatics and the Biomedical Informatics Department (in collaboration with the Mayo Clinic) at Arizona State University. Member of the design team for the founding of the new medical school campus of the University of Arizona College of Medicine, Phoenix. Member of the Governor's electronic health steering committee.""]",[],[''],"[""Lakshmie was my Masters student from 2009-2011, and completed his thesis work on developing haptic interfaces to enhance movie comprehension for individuals with visual impairments. Over the course of his Masters program, he was quick to understand the fundamentals of interdisciplinary research, and he brought together concepts from linguistics, psychology and human-computer interaction in his thesis work. His work laid a promising foundation for providing better sensory substitution solutions for individuals who are visually impaired or blind. I found him to be a fast learner, and capable of adapting to new environments with ease. He was very active and engaged during lab meetings, and proved to be a great listener to other's opinions and suggestions. He assisted fellow researchers in related projects on haptics, and also came up with novel and innovative concepts that could spark further research efforts in the field. I am sure Lakshmie will continue to provide great contributions to his workplace in the years to come."", ""Lakshmie was my Masters student from 2009-2011, and completed his thesis work on developing haptic interfaces to enhance movie comprehension for individuals with visual impairments. Over the course of his Masters program, he was quick to understand the fundamentals of interdisciplinary research, and he brought together concepts from linguistics, psychology and human-computer interaction in his thesis work. His work laid a promising foundation for providing better sensory substitution solutions for individuals who are visually impaired or blind. I found him to be a fast learner, and capable of adapting to new environments with ease. He was very active and engaged during lab meetings, and proved to be a great listener to other's opinions and suggestions. He assisted fellow researchers in related projects on haptics, and also came up with novel and innovative concepts that could spark further research efforts in the field. I am sure Lakshmie will continue to provide great contributions to his workplace in the years to come.""]",[],[]
100,"['The Honorable Paul M. Dabbar is CEO and Co-founder of Bohr Quantum Technology, developing and deploying technologies for the emerging quantum internet I am also a Distinguished Visiting Fellow at Columbia University at the Center on Global Energy Policy, and a Fox Business and WSJ editorial page contributor Prior to that, the U.S. Senate unanimously confirmed me as the Dept. of Energy’s fourth Under Secretary for Science. I managed several areas of the Dept., and served as the Dept’s principal advisor on fundamental energy research, energy technologies, science, and commercialization of technologies. I managed over 60,000 people with a budget of $15 billion p.a. at over 100 sites, managing the majority of the U.S. National Labs, including Oak Ridge, Lawrence Berkeley, Stanford SLAC, Princeton Plasma, Argonne, Fermi and Brookhaven National Labs Areas of research I managed included basic energy sciences, nuclear and high energy physics, advanced computing, fusion, and biological & environmental research. I also led the largest environmental remediation program in the world, addressing the operations of nuclear weapons and commercial power, completing several multi-billion dollar construction projects. I also led various new efforts to commercialize innovations arising from the National Labs. I co-led several innovation efforts, including the Energy Storage Grand Challenge, the passage and implementation of the National Quantum Initiative Act and developing the U.S. Quantum Internet Blueprint I was awarded in 2021 the Secretary of Energy’s senior DOE award, the James R. Schlesinger Medal, for leadership on developing energy technologies, discovery science, environmental management, and the National Quantum Initiative I have traveled to both the geographic North and South Poles: to the North Pole by submarine to conduct environmental research while in the Navy, and to the South Pole in support of high energy physics astronomy missions of DOE at South Pole Station Prior to confirmation as Under Secretary, I worked in operations, finance, and strategy roles in the energy and national defense sectors. As Managing Director at J.P. Morgan, I had over $400 billion in transaction experience across all energy sectors. In addition, I had a senior leadership role for the company’s commodity trading business, including energy. Before J.P. Morgan, I was a nuclear submarine officer. I have been a lecturer at the U.S. Naval Academy, and conducted research at the Johns Hopkins University Applied Physics Lab. I am a member of the Council on Foreign Relations']",[''],[],[],[''],[],[''],['']
